都道府県名,西暦（年）,人口（総数）
岩手県,1985.0,1433611
宮城県,1985.0,2176295
秋田県,1985.0,1254032
山形県,1985.0,1261662
福島県,1985.0,2080304
茨城県,1985.0,2725005
栃木県,1985.0,1866066
群馬県,1985.0,1921259
埼玉県,1985.0,5863678
千葉県,1985.0,5148163
東京都,1985.0,11829363
神奈川県,1985.0,7431974
新潟県,1985.0,2478470
富山県,1985.0,1118369
石川県,1985.0,1152325
福井県,1985.0,817633
山梨県,1985.0,832832
長野県,1985.0,2136927
岐阜県,1985.0,2028536
静岡県,1985.0,3574692
愛知県,1985.0,6455172
三重県,1985.0,1747311
滋賀県,1985.0,1155844
京都府,1985.0,2586574
大阪府,1985.0,8668095
兵庫県,1985.0,5278050
奈良県,1985.0,1304866
和歌山県,1985.0,1087206
鳥取県,1985.0,616024
島根県,1985.0,794629
岡山県,1985.0,1916906
広島県,1985.0,2819200
山口県,1985.0,1601627
徳島県,1985.0,834889
香川県,1985.0,1022569
愛媛県,1985.0,1529983
高知県,1985.0,839784
福岡県,1985.0,4719259
佐賀県,1985.0,880013
長崎県,1985.0,1593968
熊本県,1985.0,1837747
大分県,1985.0,1250214
宮崎県,1985.0,1175543
鹿児島県,1985.0,1819270
沖縄県,1985.0,1179097
北海道,1990.0,5643647
青森県,1990.0,1482873
岩手県,1990.0,1416928
宮城県,1990.0,2248558
秋田県,1990.0,1227478
山形県,1990.0,1258390
福島県,1990.0,2104058
茨城県,1990.0,2845382
栃木県,1990.0,1935168
群馬県,1990.0,1966265
埼玉県,1990.0,6405319
千葉県,1990.0,5555429
東京都,1990.0,11855563
神奈川県,1990.0,7980391
新潟県,1990.0,2474583
富山県,1990.0,1120161
石川県,1990.0,1164628
福井県,1990.0,823585
山梨県,1990.0,852966
長野県,1990.0,2156627
岐阜県,1990.0,2066569
静岡県,1990.0,3670840
愛知県,1990.0,6690603
三重県,1990.0,1792514
滋賀県,1990.0,1222411
京都府,1990.0,2602460
大阪府,1990.0,8734516
兵庫県,1990.0,5405040
奈良県,1990.0,1375481
和歌山県,1990.0,1074325
鳥取県,1990.0,615722
島根県,1990.0,781021
岡山県,1990.0,1925877
広島県,1990.0,2849847
山口県,1990.0,1572616
徳島県,1990.0,831598
香川県,1990.0,1023412
愛媛県,1990.0,1515025
高知県,1990.0,825034
福岡県,1990.0,4811050
佐賀県,1990.0,877851
長崎県,1990.0,1562959
熊本県,1990.0,1840326
大分県,1990.0,1236942
宮崎県,1990.0,1168907
鹿児島県,1990.0,1797824
沖縄県,1990.0,1222398
北海道,1995.0,5692321
青森県,1995.0,1481663
岩手県,1995.0,1419505
宮城県,1995.0,2328739
秋田県,1995.0,1213667
山形県,1995.0,1256958
福島県,1995.0,2133592
茨城県,1995.0,2955530
栃木県,1995.0,1984390
群馬県,1995.0,2003540
埼玉県,1995.0,6759311
千葉県,1995.0,5797782
東京都,1995.0,11773605
神奈川県,1995.0,8245900
新潟県,1995.0,2488364
富山県,1995.0,1123125
石川県,1995.0,1180068
